"n_pokoj","metraz","cena_m2","rok","pietro","pietro_maks","dzielnica"
4,80.74,4600,2017,0,0,"Psie Pole"
2,44,6136,NA,0,0,"Śródmieście"
3,61,5393,2005,2,2,"Fabryczna"
2,34,6588,1980,6,10,"Stare Miasto"
3,85,4106,1980,0,0,"Krzyki"
2,59.1,5415,1930,1,2,"Śródmieście"
5,160,4063,2000,4,5,"Śródmieście"
2,55.5,6937,2001,3,6,"Śródmieście"
3,71,5197,1980,2,8,"Stare Miasto"
2,35.5,6479,1970,4,4,"Stare Miasto"
1,21,7024,1930,0,0,"Śródmieście"
3,81.25,3557,NA,2,3,"Psie Pole"
3,63,5714,1983,5,6,"Fabryczna"
4,74,4730,NA,3,4,"Fabryczna"
2,50,5800,1960,4,5,"Stare Miasto"
4,66.6,5706,1991,5,5,"Krzyki"
3,61.45,5679,1997,7,7,"Śródmieście"
3,78.63,5723,1930,2,4,"Krzyki"
3,53.6,6343,1976,1,4,"Fabryczna"
2,40,6950,1969,10,10,"Stare Miasto"
2,39,7564,1950,4,5,"Stare Miasto"
2,50,6900,2001,1,7,"Śródmieście"
2,49.57,4640,1940,0,0,"Psie Pole"
3,64,4984,1980,5,8,"Fabryczna"
2,52,5288,1930,4,5,"Śródmieście"
2,52.4,5916,1950,3,4,"Fabryczna"
2,55,6345,1930,2,4,"Śródmieście"
2,48,5521,1998,3,3,"Fabryczna"
2,50,5300,1998,2,4,"Fabryczna"
4,116,3966,1930,0,0,"Krzyki"
2,52.1,6142,1989,1,5,"Śródmieście"
4,61.5,5854,1980,5,10,"Krzyki"
3,127,3898,1908,1,4,"Krzyki"
3,84,3810,1930,3,4,"Krzyki"
2,56.5,5929,2005,1,3,"Krzyki"
2,52,5462,1960,4,5,"Śródmieście"
3,61.71,5818,1930,4,5,"Śródmieście"
2,51.84,5305,2001,4,9,"Psie Pole"
4,134,4888,1994,3,3,"Krzyki"
2,52,6250,1960,2,4,"Krzyki"
2,54,4981,1930,4,5,"Fabryczna"
3,64,5297,1989,6,10,"Fabryczna"
3,64.7,5549,1994,3,5,"Śródmieście"
3,65,5508,1990,4,6,"Fabryczna"
2,50,5300,1987,3,6,"Fabryczna"
3,64,5000,1980,1,6,"Fabryczna"
2,49.09,5806,2013,1,4,"Brak"
3,70,5929,1950,2,2,"Fabryczna"
2,42,7738,2002,1,4,"Krzyki"
2,38.2,6021,1980,3,4,"Fabryczna"
3,62.1,5942,1981,7,7,"Fabryczna"
2,71,4930,1920,1,5,"Śródmieście"
2,45,6556,2009,1,3,"Fabryczna"
3,53.65,6431,1992,2,15,"Fabryczna"
3,61,5738,1967,11,11,"Stare Miasto"
1,27.4,6569,1965,1,4,"Fabryczna"
2,47,7426,1960,4,5,"Stare Miasto"
2,46.37,4637,1930,4,5,"Krzyki"
2,36.4,6593,1977,9,10,"Krzyki"
2,60,4833,1930,4,4,"Śródmieście"
2,55,5818,1993,0,0,"Krzyki"
5,87,5172,1935,4,4,"Krzyki"
3,79.21,5416,2000,3,3,"Śródmieście"
4,72.63,4812,1938,1,1,"Krzyki"
3,70,6429,1960,1,2,"Fabryczna"
4,89,5281,2005,4,4,"Fabryczna"
NA,63,4746,NA,2,NA,"Śródmieście"
3,64.4,5978,1992,3,7,"Fabryczna"
